protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
NCT01513798,Diet and Exercise in Type 2 Diabetes - a Randomized Controlled Trial,COMPLETED,Umeå University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Umeå,Sweden,False,Modified paleolithic diet and exercise under observation,30,1,1,2012,20,1,2012
NCT02122926,Intensive Discharge Intervention in Diabetes,COMPLETED,Brigham and Women's Hospital,OTHER,Type II Diabetes,INTERVENTIONAL,ALL,ADULT,Boston,United States,False,Intensive discharge intervention,18,1,12,2011,25,4,2014
NCT04885621,Telehealth and Meal Replacement Pilot Program for Patients With Diabetes,COMPLETED,University of Virginia,OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Charlottesville,United States,False,nutrisystem-D,18,1,5,2021,13,5,2021
NCT00686634,Sitagliptin in Combination With Metformin and Sulfonylurea,COMPLETED,Charles Drew University of Medicine and Science,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Los Angeles,United States,True,Sitagliptin,18,1,1,2008,30,5,2008
NCT00786019,Influence of Endothelial Function on Central and Peripheral Causes Of Exercise Impairment in Type 2 Diabetes,COMPLETED,"University of Colorado, Denver",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Aurora,United States,True,Exercise program,30,1,5,2008,5,11,2008
NCT01569893,Life-Long Monitoring of Diabetes Mellitus in Veneto Region,COMPLETED,Regione Veneto,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Schio,Italy,False,Self-monitoring for patients with Dibetes mellitus,18,1,3,2012,3,4,2012
NCT00357370,A Pilot Study of BMS-512148 in Subjects With Type 2 Diabetes,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Jonesboro,United States,True,Dapagliflozin,18,1,10,2006,27,7,2006
NCT02514850,A Trial to Compare the Pharmacodynamic and Pharmacokinetic Properties of Biochaperone® Combo With Humalog® Mix25 and With Simultaneous Injections of Humalog® and Lantus® in Subjects With Type 2 Diabetes,COMPLETED,Adocia,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Neuss,Germany,False,Biochaperone Combo,18,1,7,2015,4,8,2015
NCT00743002,A Trial of TT223 in Patients With Type 2 Diabetes Who Are Taking Metformin and/or Thiazolidinedione,COMPLETED,"OPKO Health, Inc.",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Artesia,United States,False,TT223 with Metformin and/or TZD,18,1,8,2008,28,8,2008
NCT00097500,Effects of Exenatide and Insulin Glargine in Subjects With Type 2 Diabetes,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Helsinki,Finland,True,exenatide,30,1,9,2004,25,11,2004
NCT03674866,A Canadian Study of the Effectiveness of Tresiba® (Insulin Degludec) After Switching Basal Insulin in a Population With Type 1 or Type 2 Diabetes Mellitus,COMPLETED,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 1",OBSERVATIONAL,ALL,ADULT,Calgary,Canada,False,Insulin degludec,18,29,10,2018,18,9,2018
NCT00396357,Efficacy/Safety of Vildagliptin and Metformin Combination Therapy in Patients With Type 2 Diabetes Not Well Controlled With Metformin Alone,COMPLETED,Novartis Pharmaceuticals,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,East Hanover,United States,False,Vildagliptin,18,1,10,2006,6,11,2006
NCT01455896,A Study to Evaluate Cardiovascular Outcomes in Patients With Type 2 Diabetes Treated With ITCA 650,COMPLETED,Intarcia Therapeutics,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Chandler,United States,False,ITCA 650,40,1,3,2013,20,10,2011
NCT01204775,"Study to Evaluate the Efficacy, Safety, Tolerability, and Pharmacokinetics of Saxagliptin as Monotherapy in Pediatric Patients With Type 2 Diabetes",COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,CHILD,Los Angeles,United States,True,Saxagliptin,10,1,6,2011,17,9,2010
NCT01269996,JanUmet Before Insulin Lantus In Eastern Population Evaluation Program (JUBILEE) In Type 2 Diabetic Patients,COMPLETED,Chinese University of Hong Kong,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Hong Kong,Hong Kong,False,"Janumet, Lantus",18,1,5,2011,5,1,2011
NCT00622284,Efficacy and Safety of BI 1356 in Combination With Metformin in Patients With Type 2 Diabetes,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Tempe,United States,True,Placebo identical to BI 1356 5mg,18,1,2,2008,25,2,2008
NCT02949739,Prevention of Type 2 Diabetes Amongst South Asians With Central Obesity and Prediabetes,COMPLETED,Imperial College London,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,London,United Kingdom,False,Intensive lifestyle modification,40,1,1,2015,31,10,2016
NCT04757233,Personalizing Self-management in Diabetes - Pilot Study,COMPLETED,Columbia University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,New York,United States,False,GlucoType,18,1,2,2018,17,2,2021
NCT02512068,"A Phase 3, Randomized, Double-blind, Parallel-group, Comparative Study and a Phase 3, Multicenter, Open-label, Long-term Study of SYR-472 (25 mg) in Patients With Type 2 Diabetes Mellitus Complicated by Severe Renal Impairment or End-stage Renal Disease",COMPLETED,Takeda,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anjo,Japan,True,Trelagliptin 25 mg,20,7,8,2015,30,7,2015
NCT02386982,Beta Cell Function and Related Pharmacodynamics of HMS5552 in T2DM Patients,COMPLETED,Hua Medicine Limited,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Changchun,China,False,HMS5552,18,1,3,2015,12,3,2015
NCT01270789,LIraglutide and Beta-cell RepAir (LIBRA) Study,COMPLETED,"Mount Sinai Hospital, Canada",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Toronto,Canada,False,Liraglutide,30,1,1,2011,5,1,2011
NCT01131676,BI 10773 (Empagliflozin) Cardiovascular Outcome Event Trial in Type 2 Diabetes Mellitus Patients (EMPA-REG OUTCOME).,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Birmingham,United States,True,BI 10773 low dose,18,1,7,2010,27,5,2010
NCT01455857,A Study to Evaluate ITCA 650 for the Treatment of Type 2 Diabetes,COMPLETED,Intarcia Therapeutics,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,False,ITCA 650,18,1,3,2013,20,10,2011
NCT00667732,"How Glargine Insulin, Oral Diabetes Medications and Exenatide May Improve Blood Sugar Control and Weight Gain in Type 2 Diabetics",COMPLETED,Oregon Health and Science University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Washington DC,United States,True,exenatide,30,1,3,2007,28,4,2008
NCT01345435,Effects of Telemonitoring and Telemedicine Service for Type 2 Diabetes Care,COMPLETED,CHANGHEE LEE,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Daegu,"Korea, Republic of",False,Telemonitoring group,20,1,1,2011,2,5,2011
NCT00922649,Pilot Study Assessing Insulin Pump Therapy in Type 2 Diabetes,COMPLETED,Animas Corporation,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,La Jolla,United States,False,Insulin Pump therapy,18,1,2,2008,17,6,2009
NCT00871936,A Comparison of SLx-4090 in Combination With Metformin Versus Metformin Therapy Alone in Patients With Type 2 Diabetes,COMPLETED,Response Pharmaceuticals,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,False,SLx-4090,18,1,4,2009,30,3,2009
NCT00540488,Glucose/Insulin Responses:Subjects With Type 2 Diabetes Consuming Diabetes-Specific vs Standard Nutritional Formulas,COMPLETED,Abbott Nutrition,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Chicago,United States,False,Adult enteral formula,18,1,8,2002,8,10,2007
NCT01882907,Safety and Efficacy Study to Compare Vildagliptin to Pioglitazone as Adding on Metformin in Type 2 Diabetes,COMPLETED,Pusan National University Hospital,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Busan,"Korea, Republic of",True,vildagliptin,18,1,12,2009,21,6,2013
NCT05548218,Care Companion Diabetes,COMPLETED,NorthShore University HealthSystem,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Chicago,United States,False,Automated health education using a digital health pathway,18,15,8,2022,21,9,2022
NCT06293742,"ECC5004 DDI Study With Atorvastatin, Rosuvastatin, Digoxin and Midazolam in Healthy Participants",COMPLETED,Eccogene,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,False,ECC5004,18,8,2,2024,5,3,2024
NCT02475070,Vildagliptin Versus Dapagliflozin on Glucagon,COMPLETED,Lund University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Lund,Sweden,True,Vildagliptin,20,1,1,2016,18,6,2015
NCT03313297,Glucocorticoids and Skin Healing in Diabetes (GC-SHealD),COMPLETED,University of Leeds,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Leeds,United Kingdom,False,AZD4017,18,10,4,2018,18,10,2017
NCT01646320,Safety and Efficacy of Dapagliflozin in Triple Therapy to Treat Subjects With Type 2 Diabetes,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,True,Dapagliflozin,18,1,9,2012,20,7,2012
NCT03254849,Empagliflozin and Sympathetic Nerve Traffic,COMPLETED,Profil Institut für Stoffwechselforschung GmbH,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Neuss,Germany,False,Empagliflozin,50,8,12,2017,21,8,2017
NCT02117154,"Relationship Between HbA1c, Fasting Plasma Glucose, Post-prandial Glucose and Other Measures of Glycemic Control",COMPLETED,University of Malaya,OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Kuala Lumpur,Malaysia,False,6-day Continuous Glucose Monitoring System,18,1,6,2013,17,4,2014
NCT01638351,Resistance Training in Diabetic Elder Patients,COMPLETED,National Taiwan University Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,OLDER_ADULT,Taipei City,Taiwan,False,Resistance exercise,65,1,12,2011,11,7,2012
NCT00473525,12 Week Study Of PF-00734200 For The Treatment Of Type 2 Diabetes Mellitus In Subjects Treated With Metformin,COMPLETED,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Birmingham,United States,False,Placebo,18,1,7,2007,15,5,2007
NCT01177813,Efficacy and Safety of Empagliflozin (BI 10773) Versus Placebo and Sitagliptin Over 24 Weeks in Patients With Type 2 Diabetes,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Mesa,United States,True,Placebo identical to BI10773 high dose,18,1,7,2010,9,8,2010
NCT00394030,Injection Site Study In Patients With Type 2 Diabetes Mellitus (T2DM) And Healthy Volunteers,COMPLETED,GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Long Beach,United States,False,GSK716155 subcutaneous injections,18,16,10,2006,31,10,2006
NCT06268145,ECC5004 RBA FE Study in Healthy Participants,COMPLETED,Eccogene,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,False,ECC5004,18,6,2,2024,20,2,2024
NCT04023344,Efficacy and Safety of Insulin Lispro Biphasic 25 Compared to Humalog® Mix 25 in Type 2 Diabetes Mellitus Patients,COMPLETED,Geropharm,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chelyabinsk,Russian Federation,False,Humalog Mix25,18,14,3,2018,17,7,2019
NCT01619059,Safety and Efficacy of Saxagliptin in Triple Therapy to Treat Subjects With Type 2 Diabetes,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,True,Saxagliptin,18,1,6,2012,14,6,2012
NCT01083212,To Evaluate the Effect of Gemfibrozil on the Pharmacokinetics and Pharmacodynamics of a Single Dose of AZD1656,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Linkoping,Sweden,False,AZD1656,18,1,3,2010,9,3,2010
NCT00174824,Comparison of Insulin Glargine and NPH Human Insulin in Progression of Diabetic Retinopathy in Type 2 Diabetic Patients,COMPLETED,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bridgewater,United States,False,Insulin glargine,30,1,6,2001,15,9,2005
NCT00494884,Vildagliptin 100 mg Once Daily vs. Placebo as add-on Therapy in Patients With Type 2 Diabetes Inadequately Controlled With Metformin,COMPLETED,Novartis,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bochum,Germany,False,vildagliptin,18,1,6,2007,2,7,2007
NCT01672762,A Study to Evaluate Long-term Safety and Efficacy of ASP1941 in Diabetes Patients,COMPLETED,Astellas Pharma Inc,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Chubu,Japan,False,ipragliflozin,20,25,5,2012,27,8,2012
NCT01778049,Linagliptin as Add on Therapy to Empagliflozin 10 mg or 25 mg With Background Metformin in Patient With Type 2 Diabetes,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chino,United States,True,BI 10773,18,1,1,2013,29,1,2013
NCT01836796,Metabolic Effects of Lactobacillus Reuteri DSM 17938 in Type 2 Diabetes,COMPLETED,Vastra Gotaland Region,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Gothenburg,Sweden,False,Lactobacillus Reuteri,50,1,5,2012,22,4,2013
NCT02099838,Effectiveness and Safety of Adding Compound Preparation of Pioglitazone and Metformin for Type 2 Diabetic Patients,COMPLETED,Huazhong University of Science and Technology,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Wuhan,China,True,Pioglitazone and Metformin,18,1,1,2012,31,3,2014
NCT02472951,Cut Down on Carbohydrate Usage in the Diet of Type 2 Diabetes - Mechanisms of Effective Therapy of Diabetes by Selective Choice of Macronutrients - The Phenotype Study,COMPLETED,Bispebjerg Hospital,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,False,Low carbohydrate meals,18,1,8,2015,16,6,2015
NCT00808860,Anti-Diabetic Effect of Gynostemma Pentaphyllum Tea as add-on Therapy With Sulfonylureas in Type 2 Diabetic Patients,COMPLETED,Hanoi Medical University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Hanoi,Vietnam,False,GP group,40,1,2,2008,16,12,2008
NCT00374907,A Study Assessing Saxagliptin Treatment in Subjects With Type 2 Diabetes Who Are Not Controlled With Diet and Exercise,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,San Diego,United States,True,Saxagliptin,18,1,9,2006,12,9,2006
NCT00937222,Effects of Peanut and Peanut Butter Consumption on Blood Lipids and Glycemic Control in Adults With Type 2 Diabetes,COMPLETED,Loma Linda University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Loma Linda,United States,False,Peanuts and peanut butter,18,1,6,2009,10,7,2009
NCT00437112,Evaluate the Efficacy and Safety of Insulin Compared to Glargine in Patients With Type 2 Diabetes,COMPLETED,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Greenbrae,United States,False,Human Insulin Inhalation Powder,18,1,2,2007,19,2,2007
NCT01596504,Pharmacodynamic Effects of Lixisenatide Compared to Liraglutide in Patients With Type 2 Diabetes Not Adequately Controlled With Insulin Glargine With or Without Metformin,COMPLETED,Sanofi,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,True,Lixisenatide (AVE0010),18,1,5,2012,11,5,2012
NCT02291666,Evaluation of CYP450 Activities in Diabetic Patients vs. Non-diabetic Subjects,COMPLETED,Centre hospitalier de l'Université de Montréal (CHUM),OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Montreal,Canada,False,CRCHUM-MT cocktail,18,1,4,2015,14,11,2014
NCT02474147,Processed Meat and Brain Regions Related to Reward and Addiction,COMPLETED,Institute for Clinical and Experimental Medicine,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,MALE,ADULT,Prague,Czechia,False,Processed meat hamburger,30,1,8,2015,17,6,2015
NCT00515632,Efficacy and Safety of Treatment With Balaglitazone in Type 2 Diabetes Patients on Stable Insulin Therapy,COMPLETED,Rheoscience A/S,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,False,Balaglitazone,18,1,7,2007,14,8,2007
NCT06204107,A Clinical Trial to Evaluate the Food Effect on Pharmacokinetic Profiles and Safety of CKD-379,COMPLETED,Chong Kun Dang Pharmaceutical,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seongnam,"Korea, Republic of",False,CKD-379(Empagliflozin+sitagliptin+metformin) Test drug,19,21,11,2023,12,1,2024
NCT00143520,Placebo and Active Controlled Study of Rivoglitazone in Type 2 Diabetes,COMPLETED,Daiichi Sankyo,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,False,Rivoglitazone,18,1,12,2004,2,9,2005
NCT00411411,Long Term Effects of DPP-IV Inhibitor Treatment in Patients With Type 2 Diabetes,COMPLETED,"University Hospital, Gentofte, Copenhagen",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Hellerup,Denmark,True,Januvia,18,1,2,2007,14,12,2006
NCT00402909,"Safety and Efficacy of Nateglinide in Patients With Type 2 Diabetes Already Taking Insulin Glargine, Metformin and/or Pioglitazone or Rosiglitazone",COMPLETED,Novartis Pharmaceuticals,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,East Hanover,United States,False,Nateglinide,18,1,11,2006,22,11,2006
NCT04948931,"The Effect of Aromatherapy on Cognitive Functions, Anxiety and Sleep",COMPLETED,Abant Izzet Baysal University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,OLDER_ADULT,Bolu,Turkey,False,Lavender aromatherapy,65,28,7,2021,2,7,2021
NCT00660907,Efficacy and Safety of Dapagliflozin in Combination With Metformin in Type 2 Diabetes Patients,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Buenos Aires,Argentina,True,dapagliflozin,18,1,3,2008,17,4,2008
NCT00749190,BI 10773 add-on to Metformin in Patients With Type 2 Diabetes,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,True,BI 10773,18,1,8,2008,9,9,2008
NCT04260100,Diabetic Care Self-Management Mobile Health Application Among Diabetes Mellitus Clients in Malaysia,COMPLETED,Mohd Khairul Zul Hasymi Firdaus,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Kangar,Malaysia,False,Diabetes Care Self-Management Mobile Health Application,18,17,2,2020,7,2,2020
NCT00359879,Comparison of Exenatide Taken Before Lunch and Dinner With Before Breakfast and Dinner in Patients With Type 2 Diabetes,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Campinas,Brazil,False,exenatide,18,1,9,2006,3,8,2006
NCT00353587,Safety and Efficacy Study of Metaglidasen in Type 2 Diabetes in Patients Suboptimally Controlled on Insulin,COMPLETED,Gilead Sciences,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Jonesboro,United States,False,MBX-102,18,1,5,2006,18,7,2006
NCT00815399,Pioglitazone Versus Metformin in Type 2 Diabetes,COMPLETED,"University of Campania ""Luigi Vanvitelli""",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Naples,Italy,False,Pioglitazone,30,1,10,2007,30,12,2008
NCT02386930,Behavioral Lifestyle Intervention Study (BLIS) in Patients With Type 2 Diabetes in UAE: A Randomized Controlled Trial in Real Life Setting,COMPLETED,Rashid Centre for Diabetes and Research,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Ajman,United Arab Emirates,False,Behvarioal lifestyle modification,18,1,7,2013,12,3,2015
NCT00710008,Effect of Short-Term Exercise Training on ATP Synthesis in Relatives of Type 2 Diabetic Humans,COMPLETED,Landsteiner Institut,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Vienna,Austria,False,exercise training,18,1,2,2006,3,7,2008
NCT01624259,A Study Comparing the Effect of Dulaglutide With Liraglutide in Type 2 Diabetes,COMPLETED,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Phoenix,United States,True,LY2189265,18,1,6,2012,20,6,2012
NCT01203111,Intensive Insulin Glulisine Therapy in Patients With Type 2 Diabetes Inadequately Controlled With Basal Insulin and Oral Glucose-lowering Drugs,COMPLETED,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Algiers,Algeria,False,INSULIN GLARGINE,18,1,12,2010,16,9,2010
NCT02299050,Effect of Cycloset on Glycemic Control When Added to Glucagon-like Peptide 1 (GLP-1) Analogue Therapy,COMPLETED,The University of Texas Health Science Center at San Antonio,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,True,Cycloset,30,1,6,2014,24,11,2014
NCT04218734,A Study of DBPR108 and Metformin Hydrochloride Combination Therapy in Patients With T2DM,COMPLETED,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Beijing,China,False,DBPR108,18,14,1,2020,6,1,2020
NCT00954447,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Escondido,United States,True,Placebo,18,1,8,2009,7,8,2009
NCT00918879,Evaluate Saxagliptin in Adult Indian Patients With Type 2 Diabetes Inadequate Glycemic Control,COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Gujarat,India,True,Saxagliptin,18,1,5,2009,11,6,2009
NCT01903356,A Regulatory Requirement Non Interventional Study to Monitor Safety and Effectiveness of Trajenta Duo in Type 2 Diabetes Patients in Korea,COMPLETED,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Multiple Locations,"Korea, Republic of",True,Trajenta duo,18,11,7,2013,19,7,2013
NCT05819749,Diabetes Homelessness Medication Support Program in Spanish,COMPLETED,Hennepin Healthcare Research Institute,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Minneapolis,United States,True,Diabetes Homelessness Medication Support Program in Spanish,18,1,5,2023,19,4,2023
NCT01159353,Pharmacodynamic and Pharmacokinetic Effects of Insulin Glulisine in Obese Subjects With Type 2 Diabetes After a Standard Meal in Comparison to Insulin Aspart,COMPLETED,Sanofi,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Paris,France,False,Insulin glulisine,18,1,9,2007,9,7,2010
NCT02004366,Linagliptin Inpatient Trial,COMPLETED,Emory University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Denver,United States,True,Linagliptin,18,1,1,2014,9,12,2013
NCT02786823,Effect of Folic Acid and Vitamin B12 Supplementation in Subjects With Type 2 Diabetes,COMPLETED,"All India Institute of Medical Sciences, Bhubaneswar",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bhubaneswar,India,False,Folic acid,30,1,5,2017,1,6,2016
NCT00460941,A Titration Study of a Glucagon-Like Peptide-1 (GLP-1) Analogue in Patients With Type 2 Diabetes Treated With Metformin.,COMPLETED,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Harrisburg,United States,False,Placebo,18,1,4,2007,17,4,2007
NCT02906930,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only,COMPLETED,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Lancaster,United States,True,semaglutide,18,20,9,2016,20,9,2016
NCT04126603,Impact of Semaglutide on CD34+ EPC and Fat Derived MSC,COMPLETED,Sabyasachi Sen,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Washington,United States,False,Semaglutide,20,1,8,2019,15,10,2019
NCT02243176,"24-Week, Multicenter, Randomized, Parallel-group, Open-label, Active Controlled Phase IV Study to Assess the Efficacy, Safety and Tolerability of Saxagliptin Compared With Acarbose When in Combination With Metformin in Patients With T2D Inadequately Controlled With Metformin Monotherapy",COMPLETED,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Shanghai,China,True,Saxagliptin,18,1,9,2014,17,9,2014
NCT03086330,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to SGLT-2i in Subjects With Type 2 Diabetes Mellitus,COMPLETED,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Andalusia,United States,True,Semaglutide,18,15,3,2017,22,3,2017
NCT02564926,Foxiga Korea Local Phase 4 Study,COMPLETED,AstraZeneca,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Ansan-si,"Korea, Republic of",True,Dapagliflozin,19,5,1,2016,1,10,2015
NCT01422590,Pharmacodynamics of Mitiglinide/Sitagliptin Compared to Mitiglinide and Sitagliptin,COMPLETED,Samsung Medical Center,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",False,Sitagliptin,20,1,5,2010,24,8,2011
NCT03797885,A Study of People With Type 2 Diabetes Who Have Diseases That Affect the Heart and Blood Vessels. The Study Will Also Look at the Treatment of a Group of These People in Hospitals in Portugal,COMPLETED,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Almada,Portugal,False,No treatment given,18,15,1,2019,9,1,2019
