Title,Sponsor,Sponsor_Class,Conditions,Study_Type,Sex,Age_Category,City,Country,Results,Interventions,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
Personalizing Self-management in Diabetes - Pilot Study,Columbia University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,New York,United States,Passed,GlucoType,18,1,2,2018,17,2,2021
"A Phase 3, Randomized, Double-blind, Parallel-group, Comparative Study and a Phase 3, Multicenter, Open-label, Long-term Study of SYR-472 (25 mg) in Patients With Type 2 Diabetes Mellitus Complicated by Severe Renal Impairment or End-stage Renal Disease",Takeda,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anjo,Japan,Failed,Trelagliptin 25 mg,20,7,8,2015,30,7,2015
Beta Cell Function and Related Pharmacodynamics of HMS5552 in T2DM Patients,Hua Medicine Limited,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Changchun,China,Passed,HMS5552,18,1,3,2015,12,3,2015
LIraglutide and Beta-cell RepAir (LIBRA) Study,"Mount Sinai Hospital, Canada",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Toronto,Canada,Passed,Liraglutide,30,1,1,2011,5,1,2011
BI 10773 (Empagliflozin) Cardiovascular Outcome Event Trial in Type 2 Diabetes Mellitus Patients (EMPA-REG OUTCOME).,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Failed,BI 10773 low dose,18,1,7,2010,27,5,2010
A Study to Evaluate ITCA 650 for the Treatment of Type 2 Diabetes,Intarcia Therapeutics,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Passed,ITCA 650,18,1,3,2013,20,10,2011
"How Glargine Insulin, Oral Diabetes Medications and Exenatide May Improve Blood Sugar Control and Weight Gain in Type 2 Diabetics",Oregon Health and Science University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Washington DC,United States,Failed,exenatide,30,1,3,2007,28,4,2008
Effects of Telemonitoring and Telemedicine Service for Type 2 Diabetes Care,CHANGHEE LEE,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Daegu,"Korea, Republic of",Passed,Telemonitoring group,20,1,1,2011,2,5,2011
Pilot Study Assessing Insulin Pump Therapy in Type 2 Diabetes,Animas Corporation,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,La Jolla,United States,Passed,Insulin Pump therapy,18,1,2,2008,17,6,2009
A Comparison of SLx-4090 in Combination With Metformin Versus Metformin Therapy Alone in Patients With Type 2 Diabetes,Response Pharmaceuticals,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,Passed,SLx-4090,18,1,4,2009,30,3,2009
Glucose/Insulin Responses:Subjects With Type 2 Diabetes Consuming Diabetes-Specific vs Standard Nutritional Formulas,Abbott Nutrition,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Chicago,United States,Passed,Adult enteral formula,18,1,8,2002,8,10,2007
Safety and Efficacy Study to Compare Vildagliptin to Pioglitazone as Adding on Metformin in Type 2 Diabetes,Pusan National University Hospital,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Busan,"Korea, Republic of",Failed,vildagliptin,18,1,12,2009,21,6,2013
Care Companion Diabetes,NorthShore University HealthSystem,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Chicago,United States,Passed,Automated health education using a digital health pathway,18,15,8,2022,21,9,2022
"ECC5004 DDI Study With Atorvastatin, Rosuvastatin, Digoxin and Midazolam in Healthy Participants",Eccogene,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,Passed,ECC5004,18,8,2,2024,5,3,2024
Vildagliptin Versus Dapagliflozin on Glucagon,Lund University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Lund,Sweden,Failed,Vildagliptin,20,1,1,2016,18,6,2015
Glucocorticoids and Skin Healing in Diabetes (GC-SHealD),University of Leeds,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Leeds,United Kingdom,Passed,AZD4017,18,10,4,2018,18,10,2017
Safety and Efficacy of Dapagliflozin in Triple Therapy to Treat Subjects With Type 2 Diabetes,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Failed,Dapagliflozin,18,1,9,2012,20,7,2012
Empagliflozin and Sympathetic Nerve Traffic,Profil Institut für Stoffwechselforschung GmbH,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Neuss,Germany,Passed,Empagliflozin,50,8,12,2017,21,8,2017
"Relationship Between HbA1c, Fasting Plasma Glucose, Post-prandial Glucose and Other Measures of Glycemic Control",University of Malaya,OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Kuala Lumpur,Malaysia,Passed,6-day Continuous Glucose Monitoring System,18,1,6,2013,17,4,2014
Resistance Training in Diabetic Elder Patients,National Taiwan University Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,OLDER_ADULT,Taipei City,Taiwan,Passed,Resistance exercise,65,1,12,2011,11,7,2012
12 Week Study Of PF-00734200 For The Treatment Of Type 2 Diabetes Mellitus In Subjects Treated With Metformin,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Passed,Placebo,18,1,7,2007,15,5,2007
Efficacy and Safety of Empagliflozin (BI 10773) Versus Placebo and Sitagliptin Over 24 Weeks in Patients With Type 2 Diabetes,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Mesa,United States,Failed,Placebo identical to BI10773 high dose,18,1,7,2010,9,8,2010
Injection Site Study In Patients With Type 2 Diabetes Mellitus (T2DM) And Healthy Volunteers,GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Long Beach,United States,Passed,GSK716155 subcutaneous injections,18,16,10,2006,31,10,2006
ECC5004 RBA FE Study in Healthy Participants,Eccogene,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Anaheim,United States,Passed,ECC5004,18,6,2,2024,20,2,2024
Efficacy and Safety of Insulin Lispro Biphasic 25 Compared to Humalog® Mix 25 in Type 2 Diabetes Mellitus Patients,Geropharm,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chelyabinsk,Russian Federation,Passed,Humalog Mix25,18,14,3,2018,17,7,2019
Safety and Efficacy of Saxagliptin in Triple Therapy to Treat Subjects With Type 2 Diabetes,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Failed,Saxagliptin,18,1,6,2012,14,6,2012
To Evaluate the Effect of Gemfibrozil on the Pharmacokinetics and Pharmacodynamics of a Single Dose of AZD1656,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Linkoping,Sweden,Passed,AZD1656,18,1,3,2010,9,3,2010
Comparison of Insulin Glargine and NPH Human Insulin in Progression of Diabetic Retinopathy in Type 2 Diabetic Patients,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bridgewater,United States,Passed,Insulin glargine,30,1,6,2001,15,9,2005
Vildagliptin 100 mg Once Daily vs. Placebo as add-on Therapy in Patients With Type 2 Diabetes Inadequately Controlled With Metformin,Novartis,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bochum,Germany,Passed,vildagliptin,18,1,6,2007,2,7,2007
A Study to Evaluate Long-term Safety and Efficacy of ASP1941 in Diabetes Patients,Astellas Pharma Inc,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Chubu,Japan,Passed,ipragliflozin,20,25,5,2012,27,8,2012
Linagliptin as Add on Therapy to Empagliflozin 10 mg or 25 mg With Background Metformin in Patient With Type 2 Diabetes,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chino,United States,Failed,BI 10773,18,1,1,2013,29,1,2013
Metabolic Effects of Lactobacillus Reuteri DSM 17938 in Type 2 Diabetes,Vastra Gotaland Region,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Gothenburg,Sweden,Passed,Lactobacillus Reuteri,50,1,5,2012,22,4,2013
Effectiveness and Safety of Adding Compound Preparation of Pioglitazone and Metformin for Type 2 Diabetic Patients,Huazhong University of Science and Technology,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Wuhan,China,Failed,Pioglitazone and Metformin,18,1,1,2012,31,3,2014
Cut Down on Carbohydrate Usage in the Diet of Type 2 Diabetes - Mechanisms of Effective Therapy of Diabetes by Selective Choice of Macronutrients - The Phenotype Study,Bispebjerg Hospital,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,Passed,Low carbohydrate meals,18,1,8,2015,16,6,2015
Anti-Diabetic Effect of Gynostemma Pentaphyllum Tea as add-on Therapy With Sulfonylureas in Type 2 Diabetic Patients,Hanoi Medical University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Hanoi,Vietnam,Passed,GP group,40,1,2,2008,16,12,2008
A Study Assessing Saxagliptin Treatment in Subjects With Type 2 Diabetes Who Are Not Controlled With Diet and Exercise,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,San Diego,United States,Failed,Saxagliptin,18,1,9,2006,12,9,2006
Effects of Peanut and Peanut Butter Consumption on Blood Lipids and Glycemic Control in Adults With Type 2 Diabetes,Loma Linda University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Loma Linda,United States,Passed,Peanuts and peanut butter,18,1,6,2009,10,7,2009
Evaluate the Efficacy and Safety of Insulin Compared to Glargine in Patients With Type 2 Diabetes,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Greenbrae,United States,Passed,Human Insulin Inhalation Powder,18,1,2,2007,19,2,2007
Pharmacodynamic Effects of Lixisenatide Compared to Liraglutide in Patients With Type 2 Diabetes Not Adequately Controlled With Insulin Glargine With or Without Metformin,Sanofi,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,Failed,Lixisenatide (AVE0010),18,1,5,2012,11,5,2012
Evaluation of CYP450 Activities in Diabetic Patients vs. Non-diabetic Subjects,Centre hospitalier de l'Université de Montréal (CHUM),OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Montreal,Canada,Passed,CRCHUM-MT cocktail,18,1,4,2015,14,11,2014
Processed Meat and Brain Regions Related to Reward and Addiction,Institute for Clinical and Experimental Medicine,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,MALE,ADULT,Prague,Czechia,Passed,Processed meat hamburger,30,1,8,2015,17,6,2015
Efficacy and Safety of Treatment With Balaglitazone in Type 2 Diabetes Patients on Stable Insulin Therapy,Rheoscience A/S,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,Passed,Balaglitazone,18,1,7,2007,14,8,2007
A Clinical Trial to Evaluate the Food Effect on Pharmacokinetic Profiles and Safety of CKD-379,Chong Kun Dang Pharmaceutical,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seongnam,"Korea, Republic of",Passed,CKD-379(Empagliflozin+sitagliptin+metformin) Test drug,19,21,11,2023,12,1,2024
Placebo and Active Controlled Study of Rivoglitazone in Type 2 Diabetes,Daiichi Sankyo,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Passed,Rivoglitazone,18,1,12,2004,2,9,2005
Long Term Effects of DPP-IV Inhibitor Treatment in Patients With Type 2 Diabetes,"University Hospital, Gentofte, Copenhagen",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Hellerup,Denmark,Failed,Januvia,18,1,2,2007,14,12,2006
"Safety and Efficacy of Nateglinide in Patients With Type 2 Diabetes Already Taking Insulin Glargine, Metformin and/or Pioglitazone or Rosiglitazone",Novartis Pharmaceuticals,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,East Hanover,United States,Passed,Nateglinide,18,1,11,2006,22,11,2006
"The Effect of Aromatherapy on Cognitive Functions, Anxiety and Sleep",Abant Izzet Baysal University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,OLDER_ADULT,Bolu,Turkey,Passed,Lavender aromatherapy,65,28,7,2021,2,7,2021
Efficacy and Safety of Dapagliflozin in Combination With Metformin in Type 2 Diabetes Patients,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Buenos Aires,Argentina,Failed,dapagliflozin,18,1,3,2008,17,4,2008
BI 10773 add-on to Metformin in Patients With Type 2 Diabetes,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Failed,BI 10773,18,1,8,2008,9,9,2008
Diabetic Care Self-Management Mobile Health Application Among Diabetes Mellitus Clients in Malaysia,Mohd Khairul Zul Hasymi Firdaus,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Kangar,Malaysia,Passed,Diabetes Care Self-Management Mobile Health Application,18,17,2,2020,7,2,2020
Comparison of Exenatide Taken Before Lunch and Dinner With Before Breakfast and Dinner in Patients With Type 2 Diabetes,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Campinas,Brazil,Passed,exenatide,18,1,9,2006,3,8,2006
Safety and Efficacy Study of Metaglidasen in Type 2 Diabetes in Patients Suboptimally Controlled on Insulin,Gilead Sciences,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Jonesboro,United States,Passed,MBX-102,18,1,5,2006,18,7,2006
Pioglitazone Versus Metformin in Type 2 Diabetes,"University of Campania ""Luigi Vanvitelli""",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Naples,Italy,Passed,Pioglitazone,30,1,10,2007,30,12,2008
Behavioral Lifestyle Intervention Study (BLIS) in Patients With Type 2 Diabetes in UAE: A Randomized Controlled Trial in Real Life Setting,Rashid Centre for Diabetes and Research,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Ajman,United Arab Emirates,Passed,Behvarioal lifestyle modification,18,1,7,2013,12,3,2015
Effect of Short-Term Exercise Training on ATP Synthesis in Relatives of Type 2 Diabetic Humans,Landsteiner Institut,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Vienna,Austria,Passed,exercise training,18,1,2,2006,3,7,2008
A Study Comparing the Effect of Dulaglutide With Liraglutide in Type 2 Diabetes,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Phoenix,United States,Failed,LY2189265,18,1,6,2012,20,6,2012
Intensive Insulin Glulisine Therapy in Patients With Type 2 Diabetes Inadequately Controlled With Basal Insulin and Oral Glucose-lowering Drugs,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Algiers,Algeria,Passed,INSULIN GLARGINE,18,1,12,2010,16,9,2010
Effect of Cycloset on Glycemic Control When Added to Glucagon-like Peptide 1 (GLP-1) Analogue Therapy,The University of Texas Health Science Center at San Antonio,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,Failed,Cycloset,30,1,6,2014,24,11,2014
A Study of DBPR108 and Metformin Hydrochloride Combination Therapy in Patients With T2DM,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Beijing,China,Passed,DBPR108,18,14,1,2020,6,1,2020
Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Escondido,United States,Failed,Placebo,18,1,8,2009,7,8,2009
Evaluate Saxagliptin in Adult Indian Patients With Type 2 Diabetes Inadequate Glycemic Control,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Gujarat,India,Failed,Saxagliptin,18,1,5,2009,11,6,2009
A Regulatory Requirement Non Interventional Study to Monitor Safety and Effectiveness of Trajenta Duo in Type 2 Diabetes Patients in Korea,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Multiple Locations,"Korea, Republic of",Failed,Trajenta duo,18,11,7,2013,19,7,2013
Diabetes Homelessness Medication Support Program in Spanish,Hennepin Healthcare Research Institute,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Minneapolis,United States,Failed,Diabetes Homelessness Medication Support Program in Spanish,18,1,5,2023,19,4,2023
Pharmacodynamic and Pharmacokinetic Effects of Insulin Glulisine in Obese Subjects With Type 2 Diabetes After a Standard Meal in Comparison to Insulin Aspart,Sanofi,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Paris,France,Passed,Insulin glulisine,18,1,9,2007,9,7,2010
Linagliptin Inpatient Trial,Emory University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Denver,United States,Failed,Linagliptin,18,1,1,2014,9,12,2013
Effect of Folic Acid and Vitamin B12 Supplementation in Subjects With Type 2 Diabetes,"All India Institute of Medical Sciences, Bhubaneswar",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bhubaneswar,India,Passed,Folic acid,30,1,5,2017,1,6,2016
A Titration Study of a Glucagon-Like Peptide-1 (GLP-1) Analogue in Patients With Type 2 Diabetes Treated With Metformin.,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Harrisburg,United States,Passed,Placebo,18,1,4,2007,17,4,2007
Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Lancaster,United States,Failed,semaglutide,18,20,9,2016,20,9,2016
Impact of Semaglutide on CD34+ EPC and Fat Derived MSC,Sabyasachi Sen,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Washington,United States,Passed,Semaglutide,20,1,8,2019,15,10,2019
"24-Week, Multicenter, Randomized, Parallel-group, Open-label, Active Controlled Phase IV Study to Assess the Efficacy, Safety and Tolerability of Saxagliptin Compared With Acarbose When in Combination With Metformin in Patients With T2D Inadequately Controlled With Metformin Monotherapy",AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Shanghai,China,Failed,Saxagliptin,18,1,9,2014,17,9,2014
Efficacy and Safety of Semaglutide Once-weekly Versus Placebo as add-on to SGLT-2i in Subjects With Type 2 Diabetes Mellitus,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Andalusia,United States,Failed,Semaglutide,18,15,3,2017,22,3,2017
Foxiga Korea Local Phase 4 Study,AstraZeneca,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Ansan-si,"Korea, Republic of",Failed,Dapagliflozin,19,5,1,2016,1,10,2015
Pharmacodynamics of Mitiglinide/Sitagliptin Compared to Mitiglinide and Sitagliptin,Samsung Medical Center,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,Sitagliptin,20,1,5,2010,24,8,2011
A Study of People With Type 2 Diabetes Who Have Diseases That Affect the Heart and Blood Vessels. The Study Will Also Look at the Treatment of a Group of These People in Hospitals in Portugal,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Almada,Portugal,Passed,No treatment given,18,15,1,2019,9,1,2019
A Non-interventional Study of Ability and Willingness to Pay for BIAsp 30 in a Real World Population With Type 2 Diabetes Mellitus (T2DM),Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,ADULT,Guwahati,India,Passed,BIAsp 30,18,13,11,2017,15,12,2017
Milk Plus Exercise: A Novel Strategy to Treat Diabetes.,University of British Columbia,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Kelowna,Canada,Passed,Skim Milk,40,1,1,2015,29,9,2014
A Study to Evaluate the DDI of HSK7653 With Metformin,"Haisco Pharmaceutical Group Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Beijing,China,Passed,HSK7653,18,10,8,2019,16,10,2023
A Placebo Controlled Safety and Efficacy Study of MSDC-0160 in Type 2 Diabetes With Active Comparator,Metabolic Solutions Development Company,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Los Angeles,United States,Failed,Placebo,18,1,9,2008,26,9,2008
"The Effect of the Physiotherapy Program for Diabetic Individuals on Dexterity, Proprioception, and Functionality",Hasan Kalyoncu University,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Gaziantep,Turkey,Passed,Exercise,18,18,5,2023,3,8,2023
A Study of Multiple Doses of LY2922470 in Participants With Diabetes,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Failed,Placebo,18,1,6,2013,3,6,2013
Secondary Care - Continuous Glucose Monitoring,Croatian Society for Endocrinology and Diabology,OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,CHILD,Zagreb,Croatia,Passed,continuous glucose monitoring (CGM) iPro™2 Medtronic,3,19,3,2018,4,4,2018
Effects of Low Intensity Therapeutic Ultrasound on Endothelial Function,Universidade Federal de Santa Maria,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Rio Grande,Brazil,Passed,Low intensity therapeutic ultrasound,25,10,12,2016,19,8,2016
Regulating Efficacy and Wellness in Diabetes,University of Illinois at Urbana-Champaign,OTHER,Diabetes Type 2,INTERVENTIONAL,ALL,ADULT,Urbana,United States,Passed,Walking exercise,50,1,1,2013,13,2,2013
Cardiovascular Disease Education and Problem-Solving Training in People With Type 2 Diabetes,Johns Hopkins University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Baltimore,United States,Passed,Education + Problem-Solving Training Self-Study,25,1,8,2010,25,8,2009
Chronic Effects of Two Aerobic-training Models Performed in Water and on Dry Land in Patients With Type 2 Diabetes Mellitus (T2DM).,Hospital de Clinicas de Porto Alegre,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Porto Alegre,Brazil,Passed,Aquatic exercise,30,1,8,2012,8,10,2013
A Study of DPP-IV Inhibitor in Patients With Type 2 Diabetes,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Concord,United States,Passed,DPP-IV Inhibitor,18,1,5,2005,25,5,2005
Effect of Gynostemma Pentaphyllum Tea in Insulin Sensitivity in Type 2 Diabetic Patients,Hanoi Medical University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Hanoi,Vietnam,Passed,Gynostemma Pentaphyllum tea,40,1,2,2010,6,12,2010
Efficacy and Safety of Lixisenatide Versus Insulin Glulisine on Top of Insulin Glargine With or Without Metformin in Type 2 Diabetic Patients,Sanofi,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Sun City,United States,Failed,Lixisenatide (AVE0010),18,1,1,2013,15,1,2013
Dose-finding of PB-119 Administered Subcutaneously Once-weekly Versus Placebo in Drug-naïve T2DM Subjects,"PegBio Co., Ltd.",OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Peking,China,Passed,PB-119 75ug,18,5,6,2018,11,5,2018
"Study to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GSK2330672 in Type 2 Diabetes Patients Taking Metformin",GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Miami,United States,Failed,GSK2330672,30,1,8,2013,28,8,2013
Effect of Training Intensity on Health Outcomes in Diabetes,"Morten Hostrup, PhD",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Copenhagen,Denmark,Passed,Training,30,1,8,2017,22,11,2017
To Evaluate Safety and Tolerability After Multiple Oral Doses of AZD1656 in Type 2 Diabetes Patients on Top of Metformin,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,Passed,AZD1656,30,1,10,2008,17,10,2008
A Study of Dipeptidyl-peptidase IV (DPP-IV) RO4876904 in Patients With Type 2 Diabetes.,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Hot Springs,United States,Passed,Placebo,18,1,7,2007,18,7,2007
A Study to Evaluate the Long-Term Safety and Tolerability of GK Activator (2) in Patients With Type 2 Diabetes.,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Passed,GK Activator (2),30,1,2,2006,21,4,2006
To Evaluate Safety and Tolerability After Multiple Oral Doses of AZD1656 in Type 2 Diabetes Patients on Top of Insulin,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Passed,AZD1656,30,1,9,2008,7,10,2008
A Pharmacodynamic/Pharmacokinetic Study of Aleglitazar in Patients With Type 2 Diabetes Mellitus on Treatment With Lisinopril,Hoffmann-La Roche,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Passed,aleglitazar,18,1,8,2011,20,7,2011
Insulin Glargine First Line vs Metformin in Type 2 Diabetic Subjects,GWT-TUD GmbH,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Dresden,Germany,Passed,Metformin,35,1,3,2009,9,3,2009
Safety and Efficacy of Vildagliptin vs. Thiazolidinedione as add-on Therapy to Metformin in Patients With Type 2 Diabetes Not Controlled With Metformin Alone,Novartis Pharmaceuticals,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,East Hanover,United States,Passed,vildagliptin,18,1,10,2006,6,11,2006
Evaluation of the Effect of Dapagliflozin in Combination With Metformin on Body Weight in Subjects With Type 2 Diabetes,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Blagoevgrad,Bulgaria,Failed,Dapagliflozin,30,1,2,2009,4,3,2009
"The HOME Trial: Hyperinsulinaemia: the Outcome of Its Metabolic Effects, a Randomized Controlled Trial","Bethesda General Hospital, Hoogeveen",OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Hoogeveen,Netherlands,Passed,Metformin on top of intensive insulin therapy,30,1,1,1998,13,9,2006
