protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_statusModule_startDateStruct_date,protocolSection_statusModule_studyFirstPostDateStruct_date,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_minimumAge,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name
NCT06202079,A Trial Comparing the Efficacy and Safety of GZR4 Injection Versus Insulin Degludec in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2023-08-29,2024-01-11,"Gan and Lee Pharmaceuticals, USA",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Wuhan,China,False,GZR4 Injection
NCT05170880,Effect of Primary Non-surgical Endodontic Therapy on Glycaemic Control in Type 2 Diabetic Patients With Asymptomatic Apical Periodontitis,COMPLETED,2019-02-11,2021-12-28,Postgraduate Institute of Dental Sciences Rohtak,OTHER,Diabete Type 2,INTERVENTIONAL,ALL,30 Years,ADULT,Rohtak,India,False,Primary endodontic treatment
NCT01669616,Point of Service Diabetes Screening Evaluation,COMPLETED,2012-08,2012-08-21,"VeraLight, Inc.",INDUSTRY,"Diabetes Mellitus, Non-Insulin Dependent",OBSERVATIONAL,ALL,18 Years,ADULT,Baton Rouge,United States,False,
NCT03131687,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Mellitus,COMPLETED,2017-05-24,2017-04-27,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Mobile,United States,True,tirzepatide
NCT00791661,MK-1006 Single Dose Study in Japanese Type 2 Diabetes Patients (MK-1006-005),COMPLETED,2008-11,2008-11-14,Merck Sharp & Dohme LLC,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,20 Years,ADULT,,,True,MK-1006
NCT06411275,A Phase 2 Study of Berberine Ursodeoxycholate (HTD1801) in Patients With Type 2 Diabetes Inadequately Controlled With Diet and Exercise,COMPLETED,2022-03-31,2024-05-13,HighTide Biopharma Pty Ltd,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,False,HTD1801
NCT04161430,A Study to Evaluate the Efficacy and Safety of DBPR108 100 mg in Type 2 Diabetes Mellitus Patients,COMPLETED,2020-01-02,2019-11-13,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,False,DBPR108; Placebo matching sitagliptin
NCT00835861,Effectiveness of Metformin Compared to Insulin in Pregnant Women With Mild Preexisting or Early Gestational Diabetes,COMPLETED,2008-08,2009-02-04,"University of North Carolina, Chapel Hill",OTHER,Non Insulin Dependent Diabetes,INTERVENTIONAL,FEMALE,18 Years,ADULT,Chapel Hill,United States,True,Metformin
NCT00754130,MK-0941 Multiple Dose Study in Japanese Patients With Type 2 Diabetes (MK-0941-011).,COMPLETED,2008-09,2008-09-17,Merck Sharp & Dohme LLC,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,20 Years,ADULT,,,True,Placebo
NCT05802927,Diabetes-specific Formula (DSF) in Individuals With Type 2 Diabetes,COMPLETED,2023-07-05,2023-04-07,Abbott Nutrition,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,21 Years,ADULT,Bangkok,Thailand,False,DSF
NCT04556760,"Study to Assess the Effect on Glucose Homeostasis of Two Dose Levels of AZD9567, Compared to Prednisolone, in Adults With Type 2 Diabetes",COMPLETED,2020-11-26,2020-09-21,AstraZeneca,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Mainz,Germany,True,AZD9567
NCT01554618,Safety and Efficacy Study of Exenatide Once Weekly in Adolescents With Type 2 Diabetes,COMPLETED,2011-12-02,2012-03-15,AstraZeneca,INDUSTRY,Children and Adolescent With Type 2 Diabetes,INTERVENTIONAL,ALL,10 Years,CHILD,Los Angeles,United States,True,Exenatide Once Weekly
NCT05145673,Effect of Aqueous Cinnamon Extract on the Postprandial Glycaemia Levels in Type 2 Diabetes Mellitus,COMPLETED,2016-01-19,2021-12-06,"Egas Moniz - Cooperativa de Ensino Superior, CRL",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,35 Years,ADULT,,,False,Placebo (OGTT)
NCT04235959,A Study of Tirzepatide in Chinese Participants With Type 2 Diabetes Mellitus,COMPLETED,2020-10-21,2020-01-22,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,20 Years,ADULT,Cheng Du,China,True,Tirzepatide
NCT03625856,The Effect of Chlorella Supplementation on Patients With Type 2 Diabetes Mellitus,COMPLETED,2018-11-30,2018-08-10,Dr. Behnood Abbasi,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Tehran,"Iran, Islamic Republic of",False,Chlorella Vulgaris
NCT04412798,Orange Juice and Glycaemic Control in Type 2 Diabetes Mellitus,COMPLETED,2020-05-01,2020-06-02,Hasselt University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,25 Years,ADULT,Hasselt,Belgium,False,orange juice concentrate
NCT01435616,A Study in Patients With Type 2 Diabetes Mellitus,COMPLETED,2011-11,2011-09-16,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Anniston,United States,True,Glargine
NCT00237952,Environmental Exposure to Lead and Progressive Renal Insufficiency in Type II Diabetic Nephropathy,COMPLETED,2005-08,2005-10-13,Chang Gung Memorial Hospital,OTHER,Diabetic Nephropathies,INTERVENTIONAL,ALL,20 Years,ADULT,Taipei,China,False,EDTA chelating agents
NCT02292433,A Phase 1 Study In Japanese Subjects With Type 2 Diabetes Mellitus As Monotherapy,COMPLETED,2015-01,2014-11-17,Pfizer,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Hachioji-shi,Japan,True,PF-04937319 high dose
NCT03138746,Insulin Sensitivity During Hyperbaric Oxygen Compared to Hyperbaric Air,COMPLETED,2018-08-13,2017-05-03,University of Adelaide,OTHER,"Diabetes Mellitus, Type II",OBSERVATIONAL,MALE,40 Years,ADULT,Adelaide,Australia,False,HBO
NCT04313829,Pharmacist Counseling on the Health-related Quality of Life of Patients With Type 2 Diabetes Mellitus,COMPLETED,2017-08-01,2020-03-18,Universitas Padjadjaran,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Makassar,Indonesia,False,Pharmacist Counseling Intervention
NCT02851849,A Study of LGD-6972 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2016-09,2016-08-02,Ligand Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,Tuscumbia,United States,False,LGD-6972-5 mg
NCT02954601,A Study of Single and Multiple Doses of Oral Insulin or Placebo in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2016-10,2016-11-03,"Oramed, Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Tustin,United States,True,ORMD-0801 (qd)
NCT03050229,SGLT-2i and ARB Combination Therapy in Patients With T2DM and Nocturnal Hypertension (SACRA Study),COMPLETED,2017-01,2017-02-10,Jichi Medical University,OTHER,Nocturnal Hypertension,INTERVENTIONAL,ALL,20 Years,ADULT,Fukuoka,Japan,False,Empagliflozin
NCT00094796,Rosiglitazone to Reverse Metabolic Defects in Diabetes,COMPLETED,2004-10-20,2004-10-25,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,22 Years,ADULT,Bethesda,United States,False,Exercise cardiopulmonary metabolic testing
NCT04100473,Dose Response of Dance 501 in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2018-04-23,2019-09-24,Dance Biopharm Inc.,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Mainz,Germany,False,Inhaled Human Insulin
NCT03233178,Measurement of Alanine Aminotransaminase (ALT) Following Initiation of Antidiabetic Agents in Patients With Type 2 Diabetes in a Real-world Clinical Setting: a Retrospective Cohort Study,COMPLETED,2017-01,2017-07-28,LMC Diabetes & Endocrinology Ltd.,OTHER,T2DM (Type 2 Diabetes Mellitus),OBSERVATIONAL,ALL,18 Years,ADULT,Brampton,Canada,False,Non-interventional
NCT00949091,Pharmacokinetics and Pharmacodynamics of TAK-875 in Subjects With Type 2 Diabetes,COMPLETED,2009-01,2009-07-30,Takeda,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,,,False,TAK-875
NCT02889510,Study to Assess the Efficacy of Liraglutide in Patients With Type 2 Diabetes Mellitus,COMPLETED,2016-10-04,2016-09-05,"Lecube, Albert, M.D.",INDIV,Type 2 Diabetes,INTERVENTIONAL,ALL,40 Years,ADULT,Badalona,Spain,True,liraglutide
NCT03407196,"Dapagliflozin in Type 2 Diabetes Patients, a Retrospective Cohort Study From Turkey",COMPLETED,2017-05-24,2018-01-23,AstraZeneca Turkey,INDUSTRY,Type 2 Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Ankara,Turkey,False,Forxiga
NCT00363519,Controlled Study of MK-0431/ONO-5435 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2006-08,2006-08-15,Ono Pharmaceutical Co. Ltd,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Chubu,Japan,False,Placebo
NCT01862939,"A Two-Part, Single Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of DS-7309 in Healthy Volunteers and Subjects With Type 2 Diabetes Mellitus",COMPLETED,2011-04,2013-05-27,Daiichi Sankyo,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Tempe,United States,False,DS-7309
NCT00501592,Study of INT-747 in Patients With Diabetes and Presumed NAFLD,COMPLETED,2007-07,2007-07-16,Intercept Pharmaceuticals,INDUSTRY,"Diabetes Mellitus, Type II",INTERVENTIONAL,ALL,18 Years,ADULT,Chula Vista,United States,True,INT-747
NCT04564846,A Study to Evaluate the Effect of ORMD-0801 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2020-11-23,2020-09-25,"Oramed, Ltd.",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Tustin,United States,True,ORMD-0801
NCT00363948,Controlled Study of MK-0431/ONO-5435 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2006-08,2006-08-15,Ono Pharmaceutical Co. Ltd,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Chubu,Japan,False,Placebo
NCT00363844,Controlled Study of MK-0431/ONO-5435 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2006-08,2006-08-15,Ono Pharmaceutical Co. Ltd,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Chubu,Japan,False,Sitagliptin phosphate
NCT05342012,The Effect of Nitrate on Brown Fat,COMPLETED,2022-06-30,2022-04-22,Bournemouth University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Bournemouth,United Kingdom,False,Concentrated beetroot juice
NCT02346175,"Pharmacodynamics, Pharmacokinetics, Safety and Tolerability of SHR3824 in Type 2 Diabetes Mellitus Patients",COMPLETED,2014-06,2015-01-26,"Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,SHR3824
NCT00506298,Study of CRx-401 on Glucose Levels in Subjects With Type II Diabetes,COMPLETED,2007-07,2007-07-25,Zalicus,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Chilliwack,Canada,False,bezafibrate + diflunisal
NCT01669473,"A Primary Care, EHR- Based Strategy to Promote Safe and Appropriate Drug Use",COMPLETED,2013-06,2012-08-21,Northwestern University,OTHER,Diabetes Mellitus Type I,INTERVENTIONAL,ALL,18 Years,ADULT,Chicago,United States,False,EHR Based Strategy to promote Safe and Appropriate Drug Use
NCT03840850,Type 2 Diabetes: Risk Perceptions and Self-management Behaviour,COMPLETED,2017-09-15,2019-02-15,University of Oxford,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Oxford,United Kingdom,False,Personalized Risk Communication for People with Type 2 Diabetes
NCT00758069,Clinical Study on Sitagliptin for Assessment of Glucose-lowering Effects (0431-045),COMPLETED,2005-07-03,2008-09-23,Merck Sharp & Dohme LLC,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,20 Years,ADULT,,,True,sitagliptin phosphate
NCT04264793,Skills for Change: Nutrition Education Program for Emirati Adults With Type 2 Diabetes,COMPLETED,2011-11-20,2020-02-11,United Arab Emirates University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Al Ain,United Arab Emirates,False,Behavioral Lifestyle Intervention
NCT06228911,Increased Blood Glucose Levels After Steroid Injection,COMPLETED,2020-01-15,2024-01-29,Syrian Private University,OTHER,"Osteoarthritis, Knee",INTERVENTIONAL,ALL,18 Years,ADULT,Damascus,Syrian Arab Republic,False,steroid (triamcinolone)
NCT00069784,The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention),COMPLETED,2003-08,2003-10-06,Sanofi,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,50 Years,ADULT,Bridgewater,United States,True,insulin glargine (HOE901)
NCT04924777,Effects of Moderate Physical Activity on Glycemic Control in Type 2 Diabetes Mellitus,COMPLETED,2021-04-01,2021-06-14,Riphah International University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Islamabad,Pakistan,False,Brisk Walk
NCT00422357,Effect of Urtica Dioica on Glycemic Control in Patients With Type 2 Diabetes Mellitus,COMPLETED,2007-01,2007-01-15,Shahid Beheshti University of Medical Sciences,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Mahmood-Abaad,"Iran, Islamic Republic of",False,Urtica Dioica (Tea bag)
NCT02419859,A Study to Assess Insulin Delivery With PaQ® in Patients With Type 2 Diabetes Mellitus,COMPLETED,2015-02,2015-04-17,CeQur Corporation,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Graz,Austria,False,PaQ® Insulin Delivery Device
NCT01293669,"Glycemic Control, Safety and Tolerability of TC-6987 Monotherapy in Type 2 Diabetes Mellitus",COMPLETED,2011-01,2011-02-10,Targacept Inc.,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Jonesboro,United States,False,TC-6987
NCT05478525,"A Study Evaluating the Safety, Tolerability, and Pharmacodynamic Effects of GLY-200 in Type 2 Diabetic Patients",COMPLETED,2022-08-03,2022-07-28,"Glyscend, Inc.",INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,30 Years,ADULT,Chula Vista,United States,False,GLY-200
NCT06517784,Insulin Initiation and Adherence Behaviours: a Cross Sectional Survey of Indian HCPs & Patients With Type 2 Diabetes,COMPLETED,2024-07-05,2024-07-24,Novo Nordisk A/S,INDUSTRY,Type 2 Diabetes,OBSERVATIONAL,ALL,18 Years,ADULT,Bangalore,India,False,No treatment given
NCT05956743,Progressive Relaxation Exercise on Sleep Quality in Patients With Type 2 Diabetes,COMPLETED,2023-06-01,2023-07-21,Mersin University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Niğde,Turkey,False,progressive relaxation exercise sessions
NCT04387045,Perceived Stress and Negative Thoughts With Biomarkers in People With Type 2 Diabetes Mellitus and Healthy Subjects,COMPLETED,2017-05-02,2020-05-13,Francisco Carlos López Marquez,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,30 Years,ADULT,Torreón,Mexico,False,Guilty feelings
NCT04077216,Effect of Extra Virgin Olive Oil on Postprandial Blood Glucose in Type 2 Diabetes Mellitus Patients,COMPLETED,2018-09-01,2019-09-04,Makati Medical Center,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,30 Years,ADULT,Makati City,Philippines,False,Extra Virgin Olive Oil (EVOO)
NCT03230786,Study to Evaluate the Efficacy and Safety of KBP-042 in Patients With Type 2 Diabetes,COMPLETED,2017-08-23,2017-07-26,KeyBioscience AG,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Karlovy Vary,Czechia,False,Daily injection of KBP/placebo for 12 weeks as add-on to metformin
NCT01449747,Pharmacokinetics Study of Dipeptidyl Peptidase 4 Inhibitor to Control Type 2 Diabetes Mellitus,COMPLETED,2011-12,2011-10-10,The Catholic University of Korea,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Seoul,"Korea, Republic of",True,Sitagliptin
NCT00642798,"An Open-Label, Single- & Multiple-Dose Study to Investigate the Pharmacokinetics of Sitagliptin 100 mg in Healthy Chinese Adult Subjects (0431-108)(COMPLETED)",COMPLETED,2008-03,2008-03-25,Merck Sharp & Dohme LLC,INDUSTRY,Diabetes Mellitus Non-insulin-dependent,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,sitagliptin phosphate
NCT04342845,Effectiveness of Motivational Interviewing on Improving Care for Patients With Type 2 Diabetes in China,COMPLETED,2016-05-01,2020-04-13,The University of Hong Kong,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Experimental: Motivational interviewing Placebo Comparator: Traditional lectures
NCT01241448,A Study of LY2409021 in Patients With Type 2 Diabetes,COMPLETED,2011-01,2010-11-16,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Burbank,United States,True,LY2409021
NCT01798238,Teneligliptin(MP-513) Versus Placebo in Type 2 Diabetes Mellitus,COMPLETED,2012-11,2013-02-25,Handok Inc.,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Seoul,"Korea, Republic of",False,MP-513
NCT05015946,Handball-based Exercise and Type 2 Diabetes,COMPLETED,2021-09-01,2021-08-23,University College of Northern Denmark,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,30 Years,ADULT,Aalborg,Denmark,False,Small-sided team handball training
NCT06351748,Real-world Study of CHina Ozempic cLinicAl pRactice in Patients With Type 2 Diabetes (SCHOLAR),COMPLETED,2024-01-02,2024-04-08,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,18 Years,ADULT,Tianjin,China,False,Semaglutide
NCT04515576,A Study of LY3493269 in Participants With Type 2 Diabetes,COMPLETED,2020-08-25,2020-08-17,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Anaheim,United States,False,LY3493269
NCT01188863,Study of Two Oral Formulations of LX4211 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2010-09,2010-08-26,Lexicon Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,San Antonio,United States,False,300 mg LX4211 (150 mg tablets)
NCT00065312,An Evaluation of an Oral Antidiabetic Agent for the Treatment of Type 2 Diabetes,COMPLETED,,2003-07-22,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,False,naveglitazar
NCT03861052,A Study of Tirzepatide (LY3298176) Compared to Dulaglutide in Participants With Type 2 Diabetes,COMPLETED,2019-05-07,2019-03-04,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Chiba Mihama-ku,Japan,True,Tirzepatide
NCT05516966,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Subcutaneous Injections of HRS9531 in Patients With Type 2 Diabetes Mellitus",COMPLETED,2022-10-12,2022-08-26,"Fujian Shengdi Pharmaceutical Co., Ltd.",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Shanghai,China,False,HRS9531
NCT02010827,Endogenous Glucoseproduction in Patients With Type 2 Diabetes Mellitus During Oral Glucose and iv. Glucose Infusion,COMPLETED,2013-11,2013-12-13,"University Hospital, Gentofte, Copenhagen",OTHER,Type 2 Diabetes Mellitus,OBSERVATIONAL,ALL,35 Years,ADULT,Hellerup,Denmark,False,"isoglycemic intravenous glucose infusion and Glucagon infusion, day C"
NCT06020846,Effect of Soleus Pushup Exercise in Type 2 Diabetes Patients,COMPLETED,2023-09-01,2023-09-01,Riphah International University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,40 Years,ADULT,Rawalpindi,Pakistan,False,Soleus Pushup Exercise
NCT04345120,Multiple Ascending Doses of SY-008 in Type 2 Diabetes Mellitus,COMPLETED,2020-06-15,2020-04-14,"Suzhou Yabao Pharmaceutical R&D Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Nanjing,China,False,SY-008
NCT04345107,Multiple Ascending Doses of SY-009 in Type 2 Diabetes Mellitus,COMPLETED,2020-05-01,2020-04-14,"Suzhou Yabao Pharmaceutical R&D Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Hefei,China,False,SY-009
NCT00513214,Safety and Pharmacokinetics Study of XOMA 052 in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2007-07,2007-08-08,XOMA (US) LLC,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Escondido,United States,False,XOMA 052
NCT00004983,Education and Group Support for Diabetic Hispanics,COMPLETED,1999-09,2000-03-14,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,35 Years,ADULT,Austin,United States,False,diabetes self-management education
NCT05606913,A Study of IBI362 in Participants With Type 2 Diabetes,COMPLETED,2023-01-06,2022-11-07,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,False,dulaglutide
NCT00006432,Acute Glycemic Effects of a Very Low Fat Diet in Type 2 Diabetes,COMPLETED,2000-01,2000-11-06,National Center for Research Resources (NCRR),NIH,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,ALL,45 Years,ADULT,Durham,United States,False,very low fat diet
NCT06327503,Salivary Signal Molecules for Neural and Vascular Homeostasis in T2DM,COMPLETED,2024-04-01,2024-03-25,University of Belgrade,OTHER,Type 2 Diabetes,OBSERVATIONAL,ALL,18 Years,ADULT,Belgrade,Serbia,False,saliva samples collecting
NCT03338010,A Study of LY2963016 Compared to Lantus® in Adult Chinese Participants With Type 2 Diabetes Mellitus,COMPLETED,2018-03-22,2017-11-09,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Hefei,China,True,LY2963016
NCT04759469,Effect of Exercise on Cardiometabolic Risk Factors in Type II Diabetic Patients,COMPLETED,2018-12-01,2021-02-18,Cairo University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,45 Years,ADULT,Cairo,Egypt,False,High-intensity interval training
NCT02773095,Evaluation of Novartis Access; a Non-communicable Disease (NCD) Access Initiative,COMPLETED,2016-06,2016-05-16,Boston University,OTHER,Cardiovascular Disease,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Novartis Access
NCT03311724,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes,COMPLETED,2017-10-19,2017-10-17,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Fresno,United States,True,Tirzepatide
NCT01468181,A Study of LY2189265 in Japanese Participants With Type 2 Diabetes Mellitus,COMPLETED,2011-11,2011-11-09,Eli Lilly and Company,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Aichi,Japan,True,LY2189265
NCT04426474,A Study of LY3502970 in Participants With Type 2 Diabetes,COMPLETED,2020-10-08,2020-06-11,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Hialeah,United States,False,LY3502970
NCT01095991,Investigate the Effect of AZD1656 on the Pharmacokinetics of Sitagliptin in Patients With Type 2 Diabetes Mellitus,COMPLETED,2010-03,2010-03-30,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Neuss,Germany,False,AZD1656
NCT04403841,Effect of Group Patient Education on Glycemic Control Among People Living With Type 2 Diabetes in Vietnam,COMPLETED,2017-08-01,2020-05-27,Hanoi Medical University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,40 Years,ADULT,Hanoi,Vietnam,False,patient education and self-management intervention in a low-resource setting on diabetes knowledge and levels of blood glucose control
NCT05478252,A Research Study to Compare Two Semaglutide Medicines in People With Type 2 Diabetes,COMPLETED,2022-08-03,2022-07-28,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,La Mesa,United States,True,Semaglutide J
NCT00943917,Study of ITCA 650 (Exenatide in DUROS) in Subjects With Type 2 Diabetes Mellitus,COMPLETED,2009-08,2009-07-22,Intarcia Therapeutics,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Chino,United States,True,ITCA 650
NCT03363386,Effects Of Resistive Exercise or Proprioceptive Exercise Training Among Patients With Type 2 Diabetes Mellitus,COMPLETED,2016-12,2017-12-06,Yeditepe University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,,,False,Proprioceptive Exercises
NCT01609088,Pilot Study of the Effects of Erythritol on Endothelial Function in Patients With Type 2 Diabetes Mellitus,COMPLETED,2012-05,2012-05-31,Boston University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,35 Years,ADULT,Boston,United States,False,Erythritol-containing beverage
NCT03793855,Nutritional Strategy for Glycemic Control in Patients With Type 2 Diabetes Mellitus (NUGLIC),COMPLETED,2019-05-06,2019-01-04,Hospital do Coracao,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,30 Years,ADULT,Governador Valadares,Brazil,False,Nutritional Strategy
NCT03810846,Feasibility and Safety of Walking Football in Patients With Type 2 Diabetes,COMPLETED,2018-09-17,2019-01-22,Universidade do Porto,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,50 Years,ADULT,Porto,Portugal,False,Walking football exercise program
